402  [restartedMain] INFO  info.mintymods.MintySensorServer - Starting MintySensorServer on MINTYHOST with PID 2540 (E:\Development\MintySensorServer\bin\main started by Minty in E:\Development\MintySensorServer) 
402  [restartedMain] INFO  info.mintymods.MintySensorServer - No active profile set, falling back to default profiles: default 
1572 [restartedMain] INFO  i.m.utils.ssl.CertificateUtils - Creating Keystore 
1575 [restartedMain] INFO  i.m.utils.ssl.CertificateUtils - Importing Certificate into Keystore 
1766 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["https-jsse-nio-8080"] 
1775 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] 
1775 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.19] 
1895 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext 
1993 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting... 
2065 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed. 
2098 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...] 
2141 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.3.10.Final} 
2142 [restartedMain] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found 
2230 [restartedMain] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.4.Final} 
2326 [restartedMain] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect 
2858 [restartedMain] INFO  o.h.t.s.internal.SchemaCreatorImpl - HHH000476: Executing import script 'org.hibernate.tool.schema.internal.exec.ScriptSourceInputNonExistentImpl@4188b06' 
3448 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["https-jsse-nio-8080"] 
3699 [restartedMain] INFO  info.mintymods.MintySensorServer - Started MintySensorServer in 3.494 seconds (JVM running for 4.017) 
37894 [https-jsse-nio-8080-exec-9] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet' 
37925 [https-jsse-nio-8080-exec-9] ERROR o.a.c.c.C.[.[.[.[dispatcherServlet] - Servlet.service() for servlet [dispatcherServlet] in context with path [] threw exception 
java.io.FileNotFoundException: classpath:templates/index.html.hbs
	at com.github.jknack.handlebars.io.URLTemplateLoader.sourceAt(URLTemplateLoader.java:70)
